country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,59.47771,-122.00837,299.32,0.58,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,279.84,1.43,N
CAN,59.50159,-120.82196,306.73,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.38,3.04,N
CAN,59.50175,-120.81247,314.24,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.76,2.71,N
CAN,59.50338,-120.86782,297.27,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,280,4.71,N
CAN,59.50349,-120.85835,309.56,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.16,4.46,N
CAN,59.50362,-120.8489,301.6,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.96,4.46,N
CAN,59.50373,-120.83939,303.3,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.63,3.18,N
CAN,59.50384,-120.82993,315.14,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.43,3.18,N
CAN,59.50396,-120.82042,311.87,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.85,3.12,N
CAN,59.50407,-120.81091,303.38,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.44,3.12,N
CAN,59.50692,-120.87946,298.68,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.31,2.9,N
CAN,59.50707,-120.86991,330.38,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.22,5.89,N
CAN,59.50723,-120.86039,331.01,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.81,5.89,N
CAN,59.50737,-120.85091,320.12,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.88,5.02,N
CAN,59.50752,-120.84142,320.39,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.12,5.02,N
CAN,59.50767,-120.83188,317.22,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.08,3.38,N
CAN,59.50782,-120.82237,305.4,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.62,3.38,N
CAN,59.50937,-120.88747,305.79,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.11,2.92,N
CAN,59.50949,-120.87794,315.94,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.79,4.71,N
CAN,59.50961,-120.86839,338.22,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,289.9,4.71,N
CAN,59.50972,-120.85887,326.94,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.63,4.46,N
CAN,59.50985,-120.8494,324.51,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.81,4.46,N
CAN,59.50996,-120.83988,319.72,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.94,3.18,N
CAN,59.51007,-120.83035,307.62,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.7,3.18,N
CAN,59.513,-120.88951,296.15,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,280.71,2.9,N
CAN,59.51315,-120.88,317.39,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.85,2.9,N
CAN,59.51329,-120.87043,324.83,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.45,5.89,N
CAN,59.51345,-120.86086,323.97,0.53,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.01,5.89,N
CAN,59.5136,-120.85137,322.01,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.58,5.02,N
CAN,59.51375,-120.84188,320.13,0.52,0.67,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.45,5.02,N
